Title,Media URL,Pinterest board,Description,Link
Kindergarten Addition Worksheets - 10 Printable Practice Pages + Answer Key - Instant Download,https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/kindergarten_addition.png,Homeschool Math Worksheets,"Whether it's extra homework help, a substitute-day activity, or summer review, this kindergarten addition bundle has 10 ready-to-print pages plus answers. No login, no shipping - download the PDF and print at home or at school.",https://cdecreek.gumroad.com/l/nkdigo
Kindergarten Math: Subtraction Worksheet Pack (10 Pages + Answer Key) - Printable PDF,https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/kindergarten_subtraction.png,Homeschool Math Worksheets,"Built for the 10-minutes-before-class scramble: 10 pages of subtraction problems sized right for kindergarten, answer key included, formatted to print cleanly on standard letter paper. Instant download - no waiting on shipping.",https://cdecreek.gumroad.com/l/tkwtqw
Skip Counting Practice for Kindergarten - 10 No-Prep Printable Worksheets with Answer Key,https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/kindergarten_skip_counting.png,Homeschool Math Worksheets,"No-prep skip counting practice for busy teachers and parents - just print and go. This set of 10 worksheets covers kindergarten-level skip counting with a full answer key included, so grading takes minutes instead of a whole evening.

Great for morning work, homework, or a quiet-time activity that's still building real skills.",https://cdecreek.gumroad.com/l/ssdfl
1st Grade Math: Addition Worksheet Pack (10 Pages + Answer Key) - Printable PDF,https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/1st_grade_addition.png,Homeschool Math Worksheets,"10 pages of 1st grade addition practice, built to actually get used - clear problems, plenty of room to show work, and an answer key so you're not doing the math yourself at 9pm. Instant PDF download, print as many copies as you need for your own classroom or family.",https://cdecreek.gumroad.com/l/dujuwe
1st Grade Math: Subtraction Worksheet Pack (10 Pages + Answer Key) - Printable PDF,https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/1st_grade_subtraction.png,Homeschool Math Worksheets,"Help your 1st grade student build real subtraction fluency with this printable worksheet bundle. Includes 10 practice pages plus a matching answer key, ready to print at home or in the classroom. Instant digital download - no waiting, no shipping.

Perfect for homeschool, classroom practice, or extra review at home.",https://cdecreek.gumroad.com/l/jahgfe
Skip Counting Practice for 1st Grade - 10 No-Prep Printable Worksheets with Answer Key,https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/1st_grade_skip_counting.png,Homeschool Math Worksheets,"Help your 1st grade student build real skip counting fluency with this printable worksheet bundle. Includes 10 practice pages plus a matching answer key, ready to print at home or in the classroom. Instant digital download - no waiting, no shipping.

Perfect for homeschool, classroom practice, or extra review at home.",https://cdecreek.gumroad.com/l/ioamkv
Money Counting Practice for 1st Grade - 10 No-Prep Printable Worksheets with Answer Key,https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/1st_grade_money_counting.png,Homeschool Math Worksheets,"10 pages of 1st grade money counting practice, built to actually get used - clear problems, plenty of room to show work, and an answer key so you're not doing the math yourself at 9pm. Instant PDF download, print as many copies as you need for your own classroom or family.",https://cdecreek.gumroad.com/l/nxqmxf
Addition Practice for 2nd Grade - 10 No-Prep Printable Worksheets with Answer Key,https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/2nd_grade_addition.png,Homeschool Math Worksheets,"Built for the 10-minutes-before-class scramble: 10 pages of addition problems sized right for 2nd grade, answer key included, formatted to print cleanly on standard letter paper. Instant download - no waiting on shipping.",https://cdecreek.gumroad.com/l/qnlreu
"Printable Subtraction Worksheets for 2nd Grade - 10-Page Practice Set, Instant PDF Download",https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/2nd_grade_subtraction.png,Homeschool Math Worksheets,"Whether it's extra homework help, a substitute-day activity, or summer review, this 2nd grade subtraction bundle has 10 ready-to-print pages plus answers. No login, no shipping - download the PDF and print at home or at school.",https://cdecreek.gumroad.com/l/sdwcpk
2nd Grade Math: Multiplication Worksheet Pack (10 Pages + Answer Key) - Printable PDF,https://raw.githubusercontent.com/cde67/brightpath-worksheets-automation/main/pins/2nd_grade_multiplication.png,Homeschool Math Worksheets,"No-prep multiplication practice for busy teachers and parents - just print and go. This set of 10 worksheets covers 2nd grade-level multiplication with a full answer key included, so grading takes minutes instead of a whole evening.

Great for morning work, homework, or a quiet-time activity that's still building real skills.",https://cdecreek.gumroad.com/l/gkvnze
